consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
122356,Florida,Urban,2016-10-31T06:40:00Z,Dark – Lighted,27.99609444,-82.44882778,Dry,Not Reported,Straight,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122906,Florida,Urban,2016-07-02T23:40:00Z,Dark – Not Lighted,29.17025833,-81.0772,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122467,Florida,Urban,2016-11-23T20:08:00Z,Dark – Not Lighted,26.08376389,-80.17556111,Dry,Not Reported,Straight,Level,No,1,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122343,Florida,Urban,2016-10-24T12:19:00Z,Daylight,29.17773056,-82.16843056,Dry,Not Reported,Straight,Level,No,30,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120442,Florida,Urban,2016-02-07T11:05:00Z,Daylight,28.81520833,-81.62889722,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
123102,Florida,Urban,2016-12-29T07:03:00Z,Dark – Lighted,25.96016111,-80.32685556,Dry,Not Reported,Straight,Level,No Driver Present/Unknown if Driver Present,35,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122103,Florida,Urban,2016-09-11T20:20:00Z,Dark – Lighted,27.94507778,-82.27761111,Dry,Not Reported,Straight,Level,No,15,Other Cellular Phone Related,None/Apparently Normal,No Obstruction Noted,Clear
122244,Florida,Urban,2016-10-08T22:15:00Z,Dark – Lighted,27.01739444,-82.05720833,Dry,Not Reported,Straight,Level,No,50,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
122606,Florida,Urban,2016-12-05T22:25:00Z,Dark – Lighted,27.79901944,-82.72845556,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122283,Florida,Urban,2016-09-11T18:49:00Z,Dusk,27.96111944,-82.69816667,Dry,Not Reported,Straight,Level,No,50,While Using or Reaching For Device/Object Brought Into Vehicle,None/Apparently Normal,No Obstruction Noted,Clear
120317,Florida,Urban,2016-01-20T19:42:00Z,Dark – Lighted,27.82835,-82.70000556,Dry,Not Reported,Straight,Level,No,40,Not Distracted,Physical Impairment – No Details,No Obstruction Noted,Clear
121947,Florida,Urban,2016-06-18T16:25:00Z,Daylight,26.14075556,-81.80453889,Dry,Not Reported,Straight,Level,No,25,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122292,Florida,Urban,2016-10-13T19:50:00Z,Dark – Lighted,26.15089167,-80.18433333,Dry,Not Reported,Straight,Level,No,30,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Clear
123041,Florida,Urban,2016-09-23T21:48:00Z,Dark – Lighted,28.56280833,-80.79848611,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",120,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
123044,Florida,Urban,2016-12-27T16:35:00Z,Daylight,27.88285278,-82.69624444,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",45,Not Distracted,None/Apparently Normal,"Not-in-Transport Motor Vehicle (Parked, Working)",Clear
123062,Florida,Urban,2016-11-04T13:19:00Z,Daylight,28.46036111,-81.30992778,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122578,Florida,Urban,2016-12-05T07:15:00Z,Daylight,30.3503,-81.7521,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,20,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122426,Florida,Urban,2016-10-16T22:44:00Z,Dark – Lighted,25.78602778,-80.19233611,Dry,Not Reported,Straight,Level,No,0,Not Distracted,Physical Impairment – No Details,No Obstruction Noted,Clear
122288,Florida,Urban,2016-10-11T11:39:00Z,Daylight,24.558775,-81.80330833,Dry,Not Reported,Straight,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
